Sample in Buffer,Sample in Window,TRIGGER,top_block_i/appUnit/fifo_generator_0_dout[319:0],top_block_i/appUnit/fifo_generator_1_dout[319:0],top_block_i/appUnit/fifo_generator_3_dout[319:0],top_block_i/appUnit/fifo_generator_2_dout[319:0],top_block_i/appUnit/data_processor_0/inst/bus_sel[1:0],u_ila_1_state[2:0],top_block_i/appUnit/event_builder_v0_0/inst/rest_count[9:0],top_block_i/appUnit/event_builder_v0_0/inst/event_offset[9:0],top_block_i/appUnit/event_builder_v0_0/inst/event_commit_len[10:0],u_ila_1_sample_cnt_i[3:0],top_block_i/appUnit/event_builder_v0_0/event_word_1[3:0],top_block_i/appUnit/event_builder_v0_0/event_word_2[9:8],top_block_i/appUnit/event_builder_v0_0/event_word_3[24:24],top_block_i/appUnit/event_builder_v0_0/event_word[29:28],top_block_i/appUnit/event_builder_v0_0/event_offset[9:0],top_block_i/appUnit/event_builder_v0_0/inst/event_word[8:0],top_block_i/appUnit/data_processor_0/inst/bus_sel_internal[1:1],u_ila_1_counter[6:4],top_block_i/appUnit/data_processor_0/inst/counter[7:7],top_block_i/appUnit/data_processor_0/inst/data_out[319:0],top_block_i/appUnit/data_processor_0/inst/req[3:0],top_block_i/appUnit/event_builder_v0_0/event_commit_len[10:0],u_ila_1_busy_i,top_block_i/appUnit/event_builder_v0_0/data_ack,u_ila_1_data_wr,top_block_i/appUnit/event_builder_v0_0/event_commit,u_ila_1_event_free,u_ila_1_event_reset,top_block_i/appUnit/event_builder_v0_0/event_write,top_block_i/appUnit/event_builder_v0_0/last_data,top_block_i/SAMPA_PON_v1_0_0/inst/sampa_power_on,top_block_i/appUnit/data_processor_0/inst/busy
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
1,1,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
2,2,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
3,3,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
4,4,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
5,5,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
6,6,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
7,7,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
8,8,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
9,9,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
10,10,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
11,11,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
12,12,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
13,13,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
14,14,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
15,15,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
16,16,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
17,17,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
18,18,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
19,19,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
20,20,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
21,21,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
22,22,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
23,23,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
24,24,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
25,25,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
26,26,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
27,27,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
28,28,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
29,29,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
30,30,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
31,31,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
32,32,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
33,33,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
34,34,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
35,35,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
36,36,0,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f42d3f4fc2b02c0b02c0b02c0b02,521515515d50d4b52d4b5554d5214955d4752d5755d50551545214052d555595550d48575415354d,685a6691ad699a66eda46fda76eda3685a06e9bb68da4691bb6e1af691bb69da1691bb6e1bb6e5a5,9d26d992649b6719b66c9ba719c2679ce6d9d2679ae719ce6e9c26a9be6d9ba719aa7099a6c9ce6a,3,"WAIT",000,00b,00c,0,4,3,0,3,00b,104,0,0,0,685a6691ad699a66e9a46fda76eda3685a06e9bb68da4695bb6e5af691be699a1695bb6e1bb6e5a4,0,00c,0,0,0,0,1,0,0,0,1,0
